Sale Date,Product,Qty,Day,Month,DayOfWeek,Product_ID
2026-04-08,AI Gloves (50 Pcs Packet) - 2024,8.0,8,4,2,0
2026-04-08,AI Sheath - for 0.25 ml straw (50 Pcs Packet),10.0,8,4,2,3
2026-04-08,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),130.0,8,4,2,5
2026-04-08,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),339.0,8,4,2,6
2026-04-08,Frozen Semen Straw (FSS) - GIR,267.0,8,4,2,7
2026-04-08,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,82.0,8,4,2,8
2026-04-08,Frozen Semen Straw (FSS) Buffalo Murrah,1.0,8,4,2,9
2026-04-08,Liquid Nitrogen (LN2) ,375.0,8,4,2,11
2026-04-09,Frozen Semen Straw (FSS) - GIR,10.0,9,4,3,7
2026-04-09,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,10.0,9,4,3,8
2026-04-09,Liquid Nitrogen (LN2) ,54.0,9,4,3,11
2026-04-09,Sex Sorted Semen Straw (SS) Cross Breed Jersey (CBJ),1.0,9,4,3,14
2026-04-10,AI Sheath - for 0.25 ml straw (50 Pcs Packet),2.0,10,4,4,3
2026-04-10,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),30.0,10,4,4,5
2026-04-10,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),15.0,10,4,4,6
2026-04-10,Frozen Semen Straw (FSS) - GIR,15.0,10,4,4,7
2026-04-10,Frozen Semen Straw (FSS) Buffalo Murrah,40.0,10,4,4,9
2026-04-10,Liquid Nitrogen (LN2) ,42.0,10,4,4,11
2026-04-13,AI Gloves (50 Pcs Packet) - 2024,11.0,13,4,0,0
2026-04-13,AI Sheath - for 0.25 ml straw (50 Pcs Packet),23.0,13,4,0,3
2026-04-13,Cryo Container  - BA-3 - 2025,1.0,13,4,0,4
2026-04-13,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),253.0,13,4,0,5
2026-04-13,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),480.0,13,4,0,6
2026-04-13,Frozen Semen Straw (FSS) - GIR,392.0,13,4,0,7
2026-04-13,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,261.0,13,4,0,8
2026-04-13,Frozen Semen Straw (FSS) Buffalo Murrah,34.0,13,4,0,9
2026-04-13,Liquid Nitrogen (LN2) ,482.0,13,4,0,11
2026-04-14,AI Gloves (50 Pcs Packet) - 2024,4.0,14,4,1,0
2026-04-14,AI Sheath - for 0.25 ml straw (50 Pcs Packet),7.0,14,4,1,3
2026-04-14,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),114.0,14,4,1,5
2026-04-14,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),105.0,14,4,1,6
2026-04-14,Frozen Semen Straw (FSS) - GIR,87.0,14,4,1,7
2026-04-14,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,105.0,14,4,1,8
2026-04-14,Liquid Nitrogen (LN2) ,141.0,14,4,1,11
2026-04-16,AI Gloves (50 Pcs Packet) - 2024,3.0,16,4,3,0
2026-04-16,AI Gun (for 0.25 ml straw) with Container_2024,1.0,16,4,3,1
2026-04-16,AI Sheath - for 0.25 ml straw (50 Pcs Packet),14.0,16,4,3,3
2026-04-16,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),193.0,16,4,3,5
2026-04-16,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),579.0,16,4,3,6
2026-04-16,Frozen Semen Straw (FSS) - GIR,289.0,16,4,3,7
2026-04-16,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,271.0,16,4,3,8
2026-04-16,Frozen Semen Straw (FSS) Buffalo Murrah,120.0,16,4,3,9
2026-04-16,Liquid Nitrogen (LN2) ,523.0,16,4,3,11
2026-04-17,AI Gloves (50 Pcs Packet) - 2024,6.0,17,4,4,0
2026-04-17,AI Gun (for 0.25 ml straw) with Container_2025,1.0,17,4,4,2
2026-04-17,AI Sheath - for 0.25 ml straw (50 Pcs Packet),9.0,17,4,4,3
2026-04-17,Cryo Container  - BA-3 - 2025,1.0,17,4,4,4
2026-04-17,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),199.0,17,4,4,6
2026-04-17,Frozen Semen Straw (FSS) - GIR,135.0,17,4,4,7
2026-04-17,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,104.0,17,4,4,8
2026-04-17,Goblet (35 X 118mm)_2023,2.0,17,4,4,10
2026-04-17,Liquid Nitrogen (LN2) ,294.0,17,4,4,11
2026-04-17,Thaw Monitor,2.0,17,4,4,17
2026-04-20,AI Gloves (50 Pcs Packet) - 2024,3.0,20,4,0,0
2026-04-20,AI Sheath - for 0.25 ml straw (50 Pcs Packet),15.0,20,4,0,3
2026-04-20,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),138.0,20,4,0,5
2026-04-20,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),139.0,20,4,0,6
2026-04-20,Frozen Semen Straw (FSS) - GIR,268.0,20,4,0,7
2026-04-20,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,212.0,20,4,0,8
2026-04-20,Frozen Semen Straw (FSS) Buffalo Murrah,2.0,20,4,0,9
2026-04-20,Goblet (35 X 118mm)_2023,5.0,20,4,0,10
2026-04-20,Liquid Nitrogen (LN2) ,273.0,20,4,0,11
2026-04-21,AI Gloves (50 Pcs Packet) - 2024,5.0,21,4,1,0
2026-04-21,AI Gun (for 0.25 ml straw) with Container_2024,2.0,21,4,1,1
2026-04-21,AI Sheath - for 0.25 ml straw (50 Pcs Packet),12.0,21,4,1,3
2026-04-21,Cryo Container  - BA-3 - 2025,1.0,21,4,1,4
2026-04-21,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),24.0,21,4,1,5
2026-04-21,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),232.0,21,4,1,6
2026-04-21,Frozen Semen Straw (FSS) - GIR,124.0,21,4,1,7
2026-04-21,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,113.0,21,4,1,8
2026-04-21,Frozen Semen Straw (FSS) Buffalo Murrah,10.0,21,4,1,9
2026-04-21,Liquid Nitrogen (LN2) ,355.0,21,4,1,11
2026-04-22,AI Gloves (50 Pcs Packet) - 2024,6.0,22,4,2,0
2026-04-22,AI Sheath - for 0.25 ml straw (50 Pcs Packet),17.0,22,4,2,3
2026-04-22,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),236.0,22,4,2,5
2026-04-22,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),94.0,22,4,2,6
2026-04-22,Frozen Semen Straw (FSS) - GIR,120.0,22,4,2,7
2026-04-22,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,96.0,22,4,2,8
2026-04-22,Liquid Nitrogen (LN2) ,280.0,22,4,2,11
2026-04-23,AI Gloves (50 Pcs Packet) - 2024,3.0,23,4,3,0
2026-04-23,AI Sheath - for 0.25 ml straw (50 Pcs Packet),8.0,23,4,3,3
2026-04-23,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),60.0,23,4,3,5
2026-04-23,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),165.0,23,4,3,6
2026-04-23,Frozen Semen Straw (FSS) - GIR,85.0,23,4,3,7
2026-04-23,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,50.0,23,4,3,8
2026-04-23,Liquid Nitrogen (LN2) ,193.0,23,4,3,11
2026-04-24,AI Gloves (50 Pcs Packet) - 2024,3.0,24,4,4,0
2026-04-24,AI Sheath - for 0.25 ml straw (50 Pcs Packet),6.0,24,4,4,3
2026-04-24,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),55.0,24,4,4,5
2026-04-24,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),100.0,24,4,4,6
2026-04-24,Frozen Semen Straw (FSS) - GIR,117.0,24,4,4,7
2026-04-24,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,25.0,24,4,4,8
2026-04-24,Frozen Semen Straw (FSS) Buffalo Murrah,20.0,24,4,4,9
2026-04-24,Liquid Nitrogen (LN2) ,117.0,24,4,4,11
2026-04-27,AI Gloves (50 Pcs Packet) - 2024,9.0,27,4,0,0
2026-04-27,AI Sheath - for 0.25 ml straw (50 Pcs Packet),26.0,27,4,0,3
2026-04-27,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),164.0,27,4,0,5
2026-04-27,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),227.0,27,4,0,6
2026-04-27,Frozen Semen Straw (FSS) - GIR,316.0,27,4,0,7
2026-04-27,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,210.0,27,4,0,8
2026-04-27,Frozen Semen Straw (FSS) Buffalo Murrah,24.0,27,4,0,9
2026-04-27,Liquid Nitrogen (LN2) ,545.0,27,4,0,11
2026-04-27,Sex Sorted Semen Straw (SS) GIR ,10.0,27,4,0,15
2026-04-27,Sex Sorted Semen Straw (SS) Pure Jersey (PJ),40.0,27,4,0,16
2026-04-28,AI Sheath - for 0.25 ml straw (50 Pcs Packet),2.0,28,4,1,3
2026-04-28,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),45.0,28,4,1,5
2026-04-28,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),31.0,28,4,1,6
2026-04-28,Frozen Semen Straw (FSS) - GIR,25.0,28,4,1,7
2026-04-28,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,10.0,28,4,1,8
2026-04-28,Liquid Nitrogen (LN2) ,195.0,28,4,1,11
2026-04-29,AI Sheath - for 0.25 ml straw (50 Pcs Packet),2.0,29,4,2,3
2026-04-29,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),90.0,29,4,2,6
2026-04-29,Frozen Semen Straw (FSS) - GIR,47.0,29,4,2,7
2026-04-29,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,25.0,29,4,2,8
2026-04-29,Liquid Nitrogen (LN2) ,24.0,29,4,2,11
2026-04-30,AI Gloves (50 Pcs Packet) - 2024,9.0,30,4,3,0
2026-04-30,AI Sheath - for 0.25 ml straw (50 Pcs Packet),8.0,30,4,3,3
2026-04-30,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),115.0,30,4,3,5
2026-04-30,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),147.0,30,4,3,6
2026-04-30,Frozen Semen Straw (FSS) - GIR,101.0,30,4,3,7
2026-04-30,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,66.0,30,4,3,8
2026-04-30,Liquid Nitrogen (LN2) ,303.0,30,4,3,11
2026-05-03,AI Gloves (50 Pcs Packet) - 2024,4.0,3,5,6,0
2026-05-03,AI Sheath - for 0.25 ml straw (50 Pcs Packet),3.0,3,5,6,3
2026-05-03,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),30.0,3,5,6,5
2026-05-03,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),20.0,3,5,6,6
2026-05-03,Frozen Semen Straw (FSS) - GIR,35.0,3,5,6,7
2026-05-03,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,35.0,3,5,6,8
2026-05-03,Liquid Nitrogen (LN2) ,105.0,3,5,6,11
2026-05-04,AI Gloves (50 Pcs Packet) - 2024,4.0,4,5,0,0
2026-05-04,AI Sheath - for 0.25 ml straw (50 Pcs Packet),3.0,4,5,0,3
2026-05-04,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),60.0,4,5,0,5
2026-05-04,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),90.0,4,5,0,6
2026-05-04,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,40.0,4,5,0,8
2026-05-04,Liquid Nitrogen (LN2) ,45.0,4,5,0,11
2026-05-05,AI Gloves (50 Pcs Packet) - 2024,7.0,5,5,1,0
2026-05-05,AI Sheath - for 0.25 ml straw (50 Pcs Packet),19.0,5,5,1,3
2026-05-05,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),231.0,5,5,1,5
2026-05-05,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),353.0,5,5,1,6
2026-05-05,Frozen Semen Straw (FSS) - GIR,374.0,5,5,1,7
2026-05-05,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,223.0,5,5,1,8
2026-05-05,Frozen Semen Straw (FSS) Buffalo Murrah,11.0,5,5,1,9
2026-05-05,Liquid Nitrogen (LN2) ,201.0,5,5,1,11
2026-05-06,AI Gloves (50 Pcs Packet) - 2024,10.0,6,5,2,0
2026-05-06,AI Sheath - for 0.25 ml straw (50 Pcs Packet),48.0,6,5,2,3
2026-05-06,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),537.0,6,5,2,5
2026-05-06,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),881.0,6,5,2,6
2026-05-06,Frozen Semen Straw (FSS) - GIR,1031.0,6,5,2,7
2026-05-06,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,317.0,6,5,2,8
2026-05-06,Frozen Semen Straw (FSS) Buffalo Murrah,115.0,6,5,2,9
2026-05-06,Liquid Nitrogen (LN2) ,624.0,6,5,2,11
2026-05-07,AI Gloves (50 Pcs Packet) - 2024,4.0,7,5,3,0
2026-05-07,AI Sheath - for 0.25 ml straw (50 Pcs Packet),3.0,7,5,3,3
2026-05-07,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),40.0,7,5,3,5
2026-05-07,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),107.0,7,5,3,6
2026-05-07,Frozen Semen Straw (FSS) - GIR,65.0,7,5,3,7
2026-05-07,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,25.0,7,5,3,8
2026-05-07,Liquid Nitrogen (LN2) ,149.0,7,5,3,11
2026-05-08,Liquid Nitrogen (LN2) ,2.0,8,5,4,11
2026-05-09,AI Gloves (50 Pcs Packet) - 2024,1.0,9,5,5,0
2026-05-09,AI Sheath - for 0.25 ml straw (50 Pcs Packet),6.0,9,5,5,3
2026-05-09,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),135.0,9,5,5,5
2026-05-09,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),125.0,9,5,5,6
2026-05-09,Frozen Semen Straw (FSS) - GIR,75.0,9,5,5,7
2026-05-09,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,74.0,9,5,5,8
2026-05-09,Liquid Nitrogen (LN2) ,55.0,9,5,5,11
2026-05-11,AI Gloves (50 Pcs Packet) - 2024,8.0,11,5,0,0
2026-05-11,AI Sheath - for 0.25 ml straw (50 Pcs Packet),16.0,11,5,0,3
2026-05-11,Cryo Container  - BA-3 - 2025,1.0,11,5,0,4
2026-05-11,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),264.0,11,5,0,5
2026-05-11,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),320.0,11,5,0,6
2026-05-11,Frozen Semen Straw (FSS) - GIR,260.0,11,5,0,7
2026-05-11,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,190.0,11,5,0,8
2026-05-11,Frozen Semen Straw (FSS) Buffalo Murrah,20.0,11,5,0,9
2026-05-11,Liquid Nitrogen (LN2) ,217.0,11,5,0,11
2026-05-12,AI Gloves (50 Pcs Packet) - 2024,27.0,12,5,1,0
2026-05-12,AI Sheath - for 0.25 ml straw (50 Pcs Packet),44.0,12,5,1,3
2026-05-12,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),530.0,12,5,1,5
2026-05-12,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),848.0,12,5,1,6
2026-05-12,Frozen Semen Straw (FSS) - GIR,780.0,12,5,1,7
2026-05-12,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,504.0,12,5,1,8
2026-05-12,Frozen Semen Straw (FSS) Buffalo Murrah,50.0,12,5,1,9
2026-05-12,Liquid Nitrogen (LN2) ,705.0,12,5,1,11
2026-05-13,AI Gloves (50 Pcs Packet) - 2024,10.0,13,5,2,0
2026-05-13,AI Sheath - for 0.25 ml straw (50 Pcs Packet),21.0,13,5,2,3
2026-05-13,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),222.0,13,5,2,5
2026-05-13,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),489.0,13,5,2,6
2026-05-13,Frozen Semen Straw (FSS) - GIR,402.0,13,5,2,7
2026-05-13,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,125.0,13,5,2,8
2026-05-13,Frozen Semen Straw (FSS) Buffalo Murrah,25.0,13,5,2,9
2026-05-13,Liquid Nitrogen (LN2) ,488.0,13,5,2,11
2026-05-14,AI Gloves (50 Pcs Packet) - 2024,2.0,14,5,3,0
2026-05-14,AI Sheath - for 0.25 ml straw (50 Pcs Packet),2.0,14,5,3,3
2026-05-14,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),30.0,14,5,3,5
2026-05-14,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),70.0,14,5,3,6
2026-05-14,Frozen Semen Straw (FSS) - GIR,35.0,14,5,3,7
2026-05-14,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,50.0,14,5,3,8
2026-05-14,Liquid Nitrogen (LN2) ,38.0,14,5,3,11
2026-05-15,AI Sheath - for 0.25 ml straw (50 Pcs Packet),1.0,15,5,4,3
2026-05-15,Cryo Container  - BA-3 - 2025,2.0,15,5,4,4
2026-05-15,Frozen Semen Straw (FSS) - GIR,20.0,15,5,4,7
2026-05-15,Liquid Nitrogen (LN2) ,22.0,15,5,4,11
2026-05-18,AI Gloves (50 Pcs Packet) - 2024,3.0,18,5,0,0
2026-05-18,AI Sheath - for 0.25 ml straw (50 Pcs Packet),10.0,18,5,0,3
2026-05-18,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),99.0,18,5,0,5
2026-05-18,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),140.0,18,5,0,6
2026-05-18,Frozen Semen Straw (FSS) - GIR,172.0,18,5,0,7
2026-05-18,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,70.0,18,5,0,8
2026-05-18,Frozen Semen Straw (FSS) Buffalo Murrah,20.0,18,5,0,9
2026-05-18,Liquid Nitrogen (LN2) ,262.0,18,5,0,11
2026-05-19,AI Gloves (50 Pcs Packet) - 2024,4.0,19,5,1,0
2026-05-19,AI Sheath - for 0.25 ml straw (50 Pcs Packet),10.0,19,5,1,3
2026-05-19,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),190.0,19,5,1,5
2026-05-19,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),260.0,19,5,1,6
2026-05-19,Frozen Semen Straw (FSS) - GIR,158.0,19,5,1,7
2026-05-19,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,119.0,19,5,1,8
2026-05-19,Liquid Nitrogen (LN2) ,276.0,19,5,1,11
2026-05-19,Sex Sorted Semen Straw (SS) Pure Jersey (PJ),30.0,19,5,1,16
2026-05-19,Thaw Monitor,1.0,19,5,1,17
2026-05-20,AI Gloves (50 Pcs Packet) - 2024,23.0,20,5,2,0
2026-05-20,AI Gun (for 0.25 ml straw) with Container_2024,1.0,20,5,2,1
2026-05-20,AI Sheath - for 0.25 ml straw (50 Pcs Packet),21.0,20,5,2,3
2026-05-20,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),345.0,20,5,2,5
2026-05-20,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),264.0,20,5,2,6
2026-05-20,Frozen Semen Straw (FSS) - GIR,356.0,20,5,2,7
2026-05-20,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,144.0,20,5,2,8
2026-05-20,Frozen Semen Straw (FSS) Buffalo Murrah,80.0,20,5,2,9
2026-05-20,Liquid Nitrogen (LN2) ,486.0,20,5,2,11
2026-05-21,AI Sheath - for 0.25 ml straw (50 Pcs Packet),2.0,21,5,3,3
2026-05-21,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),15.0,21,5,3,5
2026-05-21,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),45.0,21,5,3,6
2026-05-21,Frozen Semen Straw (FSS) - GIR,15.0,21,5,3,7
2026-05-21,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,20.0,21,5,3,8
2026-05-21,Liquid Nitrogen (LN2) ,26.0,21,5,3,11
2026-05-22,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),20.0,22,5,4,6
2026-05-22,Liquid Nitrogen (LN2) ,7.0,22,5,4,11
2026-05-25,AI Gloves (50 Pcs Packet) - 2024,8.0,25,5,0,0
2026-05-25,AI Sheath - for 0.25 ml straw (50 Pcs Packet),19.0,25,5,0,3
2026-05-25,Cryo Container  - BA-3 - 2025,2.0,25,5,0,4
2026-05-25,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),225.0,25,5,0,5
2026-05-25,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),404.0,25,5,0,6
2026-05-25,Frozen Semen Straw (FSS) - GIR,546.0,25,5,0,7
2026-05-25,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,180.0,25,5,0,8
2026-05-25,Frozen Semen Straw (FSS) Buffalo Murrah,20.0,25,5,0,9
2026-05-25,Liquid Nitrogen (LN2) ,447.0,25,5,0,11
2026-05-25,Sex Sorted Semen Straw (SS) Pure Jersey (PJ),70.0,25,5,0,16
2026-05-26,AI Gloves (50 Pcs Packet) - 2024,3.0,26,5,1,0
2026-05-26,AI Gun (for 0.25 ml straw) with Container_2024,1.0,26,5,1,1
2026-05-26,AI Sheath - for 0.25 ml straw (50 Pcs Packet),11.0,26,5,1,3
2026-05-26,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),107.0,26,5,1,5
2026-05-26,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),144.0,26,5,1,6
2026-05-26,Frozen Semen Straw (FSS) - GIR,82.0,26,5,1,7
2026-05-26,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,67.0,26,5,1,8
2026-05-26,Liquid Nitrogen (LN2) ,427.0,26,5,1,11
2026-05-26,Sex Sorted Semen Straw (SS) Cross Breed Jersey (CBJ),10.0,26,5,1,14
2026-05-27,AI Gloves (50 Pcs Packet) - 2024,4.0,27,5,2,0
2026-05-27,AI Sheath - for 0.25 ml straw (50 Pcs Packet),16.0,27,5,2,3
2026-05-27,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),130.0,27,5,2,5
2026-05-27,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),130.0,27,5,2,6
2026-05-27,Frozen Semen Straw (FSS) - GIR,156.0,27,5,2,7
2026-05-27,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,130.0,27,5,2,8
2026-05-27,Frozen Semen Straw (FSS) Buffalo Murrah,100.0,27,5,2,9
2026-05-27,Liquid Nitrogen (LN2) ,371.0,27,5,2,11
2026-05-28,AI Gloves (50 Pcs Packet) - 2024,1.0,28,5,3,0
2026-05-28,AI Sheath - for 0.25 ml straw (50 Pcs Packet),3.0,28,5,3,3
2026-05-28,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),10.0,28,5,3,5
2026-05-28,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),20.0,28,5,3,6
2026-05-28,Frozen Semen Straw (FSS) Buffalo Murrah,100.0,28,5,3,9
2026-05-28,Liquid Nitrogen (LN2) ,49.0,28,5,3,11
2026-05-29,AI Sheath - for 0.25 ml straw (50 Pcs Packet),2.0,29,5,4,3
